,tileID,ratio_rep1,coverage_rep1,ratio_rep2,coverage_rep2,ratio_rep3,coverage_rep3,iscontrol,log_cov_rep1,log_cov_rep2,log_cov_rep3
101,PLRVgp2-084,0.3503074337322067,1.4738307016278213e-05,0.7036613740982753,1.1461496525229954e-05,1.9902767364418057,2.7071090714548206e-06,no,-4.831552400853891,-4.94075867292563,-5.567494245826583
102,TYLCVVSDB_gp1-005,0.8567650682110536,0.00026317934363295905,0.7743555206936046,0.0002453550704435433,1.2009885034911842,0.0003575639898546576,no,-3.5797482005378227,-3.6102049625744543,-3.4466462253204373
103,BiMV_gp1-116,0.7887716548886037,0.0003256275617287777,0.7078265006162665,0.00030558721080371727,0.59943214691369,0.0003516985868665055,no,-3.4872788427259325,-3.5148648254680706,-3.453829376685366
104,BiMV_gp1-218,0.7826826805711923,0.00036667720878753916,1.1935392551267332,0.00044931701205688833,0.8817388797492185,0.0004518616225103338,no,-3.435716083236601,-3.347447137822368,-3.3449945425806313
105,D1U05_gp1-167,0.7532823180599506,0.00024623193914444225,1.3790611193004536,0.0002415345716018,1.010534320471859,0.00026980853745499714,no,-3.6086556147087867,-3.6170206985301823,-3.568944312221815
106,VG85_gp1-140,0.5848899767194409,0.00020007169345587515,0.8530614707183864,0.0002376086796885603,0.9086729491811719,0.00022559242262123506,no,-3.6988143518711345,-3.6241376989097156,-3.6466754918742073
107,RYMVgp5-073,1.0129669100254104,0.00033212296772924035,0.9857496313326083,0.00028672185100586754,0.8274650803047049,0.00032395071888409357,no,-3.4787010900349653,-3.5425392083103815,-3.489521051967926
108,SuCMV_gp1-005,1.3704097059355835,0.00046968049988117035,1.1489445052649738,0.0003853961141943415,0.9947513054561339,0.0004832189692546855,no,-3.3281974704103314,-3.414092668488202,-3.3158560253783707
109,GBNVsLgp1-043,0.7530883046334286,4.972117892739943e-05,0.6499112289444082,3.1538876645287946e-05,0.592732689268188,5.21118496255053e-05,no,-4.303458582452072,-4.5011537794738565,-4.283063511982063
110,GBNVsLgp1-044,0.3757047226777917,2.439898700681404e-06,0.9753877529353325,5.796618932300207e-06,13.931937155092639,4.963033297667171e-06,no,-5.612628204254851,-5.236825249058061,-5.3042528110520015
111,BKK69_gp1-193,0.6814579091175397,8.955087663582019e-05,1.283616916542053,5.7570965304890694e-05,0.7353632921793016,7.895734791743227e-05,no,-4.047930158377363,-4.239796488573827,-4.102607447523932
112,KLCV-India_gp5-009,0.9982909413586356,0.003014231071859369,1.2345181469119355,0.003059060248449938,1.3476810598561757,0.003332451266960884,no,-2.5208234575997563,-2.5144119694645912,-2.4772361928952664
113,CaMVgp2-022,0.9715483743580919,0.0006417922730913992,1.1197345906588838,0.0005422473528488103,1.0212337767672905,0.0007573137627394861,no,-3.1926055159316467,-3.2658025594538533,-3.120724150626195
114,TRoVgp1-009,0.8173415635528531,0.0016399086712944732,0.9806822157843652,0.0017454146570513407,0.7399678851359267,0.0017909782431899852,no,-2.785180337718941,-2.7581013813830526,-2.7469096899298213
115,TRoVgp5-088,1.0369701585984958,0.0006132058923685508,1.1200244152983592,0.0005192453149947281,1.444682396060916,0.0006659488315778858,no,-3.212393680610141,-3.2846274132928466,-3.1765591387232033
116,TRoVgp5-087,1.2789353611324163,0.0005820147549247047,0.8719359977749701,0.00041366780562324205,0.9050972578773365,0.0005285630462015538,no,-3.235066005210672,-3.3833482774710335,-3.2769032032772447
117,LNRSV_gp1-074,0.917817942835098,0.00038744931934739434,0.9495132347421632,0.0003084591720019933,0.8340784293764238,0.0003345535627472916,no,-3.411785097718299,-3.5108023115259157,-3.4755343408458255
118,B920_gp01-065,0.9988153775462443,0.0011858567117392891,0.9838610648050325,0.0010175174087616791,0.9621458663837571,0.0011281877055287965,no,-2.925967784041243,-2.9924581516708435,-2.94761863732654
119,SMYEVgp2-005,1.1015229364291712,0.0018765788452605693,0.9672120854898808,0.001544983383333124,1.1804481511088594,0.0017587185267551484,no,-2.7266331837996693,-2.8110761871553533,-2.7548036614286238
120,PVX_gp1-042,0.6606793750428431,0.00040545181516593554,1.0337009150391316,0.0004672338342112708,0.9610023764698502,0.0004938218131178835,no,-3.392060750949663,-3.3304657158117177,-3.3064297303062755
121,EXK43_gp1-090,0.4844869889673856,5.981048977075767e-05,0.5291500196492123,7.203616436776712e-05,0.7252152160564096,9.632796445926737e-05,no,-4.223222641261751,-4.142449419648464,-4.016247616849183
122,EXK43_gp1-063,0.7926390898334256,0.0002474189168907197,1.246906049201396,0.0002124197356009285,0.8986932400232823,0.0002411582997821003,no,-3.606567098614819,-3.672805136063235,-3.6176977866654294
123,B390_gp1-170,1.396193186283199,0.00022262427063514652,0.8063192886744891,0.0001358516691588176,0.8977878756775537,0.00019536303798998956,no,-3.6524274903682286,-3.866935021198902,-3.709157599856861
124,PYFVgp1-148,1.1347645614376742,0.001491272680177287,1.0425183420614834,0.0013414957105415124,1.1555647359117154,0.0014925194680620911,no,-2.826442938258103,-2.87241071165483,-2.8260799953297173
125,PVBV_gp3-014,1.0206696233090615,0.0021514301367319233,0.9789741132723994,0.001926848829632337,0.9976396827581944,0.0019475393844891223,no,-2.6672727521723822,-2.71515235645602,-2.7105137509630497
126,HdRSV_gp5-013,1.0431518453938329,0.0004495348497985171,1.1638352949139592,0.0004229160476470483,0.7671317945708808,0.0004387772619983022,no,-3.34723663432339,-3.373745835136072,-3.357755886212481
127,TeMV_gp1-239,0.9587530732259484,0.0007335522471994579,1.0311548248515112,0.0006432666118780785,0.8479314931617388,0.0006855753723459334,no,-3.1345689481297243,-3.1916089896433384,-3.1639447917942647
